Name,Span,Team,OtherTeam,SR,BowlingStyle,Runs,HS,Bat Av,100,Wkts,BBI,Bowl Av,5,Ct,St,Ave Diff
JDS Neesham,2022-2022,Hobart Hurricanes,New Zealand,140.9,Medium,4441,97*,23.49,0,260,5/22,25.03,1,124.0,0.0,-1.54
JE Root,2018-2019,Sydney Thunder,England,130.9,Offbreak,3062,92*,32.23,0,35,2/7,28.05,0,58.0,0.0,4.17
JEC Franklin,2012-2012,Adelaide Strikers,New Zealand,117.8,Medium,,,,,,,,,,,
JG Bethell,2024-2025,Melbourne Renegades,England,140.7,Orthodox,1484,87,24.32,0,18,2/5,26.50,0,43.0,0.0,-2.17
JH Kallis,2014-2016,Sydney Thunder,South Africa,112.7,Medium,4416,97*,30.88,0,114,4/15,30.54,0,54.0,0.0,0.33
JJ Bazley,2023-2025,Adelaide Strikers,Brisbane Heat,129.6,Medium,442,49*,14.25,0,33,4/22,31.03,0,11.0,0.0,-16.77
JJ Bazley,2020-2023,Brisbane Heat,Brisbane Heat,129.6,Medium,442,49*,14.25,0,33,4/22,31.03,0,11.0,0.0,-16.77
JJ Krejza,2011-2013,Hobart Hurricanes,Hobart Hurricanes,66.7,Offbreak,165,33*,13.75,0,30,3/13,25.00,0,8.0,0.0,-11.24
JJ Peirson,2014-2024,Brisbane Heat,Brisbane Heat,121.1,,1818,72*,22.17,0,-,-,-,-,67.0,17.0,-
JJ Roy,2020-2021,Perth Scorchers,England,140.0,,10554,145*,27.20,6,1,1/23,39.00,0,202.0,0.0,-11.79
JJS Sangha,2018-2025,Sydney Thunder,Sydney Thunder,121.2,Legbreak,836,91*,30.96,0,5,2/16,25.80,0,18.0,0.0,5.16
JK Lalor,2015-2020,Brisbane Heat,Perth Scorchers,87.0,Medium,140,14,7.77,0,66,5/26,27.96,1,20.0,0.0,-20.19
JK Lalor,2020-2022,Melbourne Renegades,Perth Scorchers,87.0,Medium,140,14,7.77,0,66,5/26,27.96,1,20.0,0.0,-20.19
JK Lalor,2012-2012,Perth Scorchers,Perth Scorchers,87.0,Medium,140,14,7.77,0,66,5/26,27.96,1,20.0,0.0,-20.19
JK Reed,2015-2017,Hobart Hurricanes,Hobart Hurricanes,266.7,Medium,8,8*,-,0,16,4/11,17.31,0,2.0,0.0,-
JL Denly,2021-2021,Brisbane Heat,England,127.4,Legbreak,7107,127,27.02,5,53,4/19,27.22,0,111.0,0.0,-0.20
JL Denly,2018-2019,Sydney Sixers,England,127.4,Legbreak,7107,127,27.02,5,53,4/19,27.22,0,111.0,0.0,-0.20
JL Pattinson,2018-2020,Brisbane Heat,Australia,110.3,Medium,125,27*,7.35,0,63,5/33,26.66,1,16.0,0.0,-19.31
JL Pattinson,2013-2022,Melbourne Renegades,Australia,110.3,Medium,125,27*,7.35,0,63,5/33,26.66,1,16.0,0.0,-19.31
JM Bird,2012-2019,Melbourne Stars,Melbourne Stars,84.9,Medium,107,14*,8.91,0,89,4/16,26.71,0,40.0,0.0,-17.80
JM Bird,2015-2025,Sydney Sixers,Melbourne Stars,84.9,Medium,107,14*,8.91,0,89,4/16,26.71,0,40.0,0.0,-17.80
JM Carder,2022-2022,Sydney Sixers,,0,,10,10,10.00,0,-,-,-,-,0.0,0.0,-
