Player,Span,Team
DR Smith,2018-2018,Peshawar Zalmi
Sohaib Maqsood,2017-2020,Peshawar Zalmi
Sohail Khan,2022-2022,Peshawar Zalmi
Sufiyan Muqeem,2023-2025,Peshawar Zalmi
SW Tait,2016-2016,Peshawar Zalmi
Tamim Iqbal,2016-2018,Peshawar Zalmi
Umaid Asif,2018-2021,Peshawar Zalmi
Umar Amin,2019-2020,Peshawar Zalmi
Usman Qadir,2022-2023,Peshawar Zalmi
GC Viljoen,2020-2020,Peshawar Zalmi
Wahab Riaz,2016-2023,Peshawar Zalmi
PI Walter,2024-2024,Peshawar Zalmi
Waqar Salamkheil,2021-2024,Peshawar Zalmi
JW Wells,2021-2021,Peshawar Zalmi
MH Wessels,2018-2018,Peshawar Zalmi
L Wood,2024-2025,Peshawar Zalmi
Yasir Khan,2022-2022,Peshawar Zalmi
Yasir Shah,2020-2020,Peshawar Zalmi
SA Abbott,2025-2025,Quetta Gladiators
Abdul Bangalzai,2022-2023,Quetta Gladiators
Abdul Nasir,2020-2021,Quetta Gladiators
Abrar Ahmed,2024-2025,Quetta Gladiators
Ahmed Shehzad,2016-2020,Quetta Gladiators
Ahsan Ali,2019-2022,Quetta Gladiators
Aimal Khan,2023-2023,Quetta Gladiators
Aizaz Cheema,2016-2016,Quetta Gladiators
Akbar-ur-Rehman,2016-2016,Quetta Gladiators
Ali Majid,2025-2025,Quetta Gladiators
FH Allen,2025-2025,Quetta Gladiators
Anamul Haque,2017-2017,Quetta Gladiators
Anwar Ali,2016-2021,Quetta Gladiators
JC Archer,2018-2018,Quetta Gladiators
Arish Ali,2021-2021,Quetta Gladiators
Asad Shafiq,2016-2018,Quetta Gladiators
Ashir Qureshi,2022-2022,Quetta Gladiators
Azam Khan,2019-2021,Quetta Gladiators
T Banton,2021-2021,Quetta Gladiators
Bismillah Khan,2016-2016,Quetta Gladiators
DJ Bravo,2019-2019,Quetta Gladiators
LD Chandimal,2025-2025,Quetta Gladiators
MS Chapman,2025-2025,Quetta Gladiators
E Chigumbura,2016-2016,Quetta Gladiators
BCJ Cutting,2020-2021,Quetta Gladiators
Danish Aziz,2019-2025,Quetta Gladiators
CS Delport,2021-2021,Quetta Gladiators
BM Duckett,2022-2022,Quetta Gladiators
F du Plessis,2021-2021,Quetta Gladiators
GD Elliott,2016-2016,Quetta Gladiators
RR Emrit,2017-2017,Quetta Gladiators
SM Ervine,2017-2017,Quetta Gladiators
LJ Evans,2024-2024,Quetta Gladiators
Faheem Ashraf,2025-2025,Quetta Gladiators
JP Faulkner,2022-2022,Quetta Gladiators
Fawad Ahmed,2019-2020,Quetta Gladiators
WIA Fernando,2025-2025,Quetta Gladiators
CH Gayle,2021-2021,Quetta Gladiators
Ghulam Mudassar,2019-2022,Quetta Gladiators
MJ Guptill,2023-2023,Quetta Gladiators
HF Gurney,2019-2019,Quetta Gladiators
Hasan Nawaz,2025-2025,Quetta Gladiators
Haseebullah Khan,2025-2025,Quetta Gladiators
Hassan Khan,2017-2022,Quetta Gladiators
JW Hastings,2018-2018,Quetta Gladiators
AJ Hosein,2024-2025,Quetta Gladiators
Iftikhar Ahmed,2022-2023,Quetta Gladiators
KA Jamieson,2025-2025,Quetta Gladiators
Khawaja Nafay,2024-2025,Quetta Gladiators
Khurram Manzoor,2020-2020,Quetta Gladiators
Khurram Shahzad,2021-2025,Quetta Gladiators
T Kohler-Cadmore,2018-2018,Quetta Gladiators
B Laughlin,2018-2018,Quetta Gladiators
NL McCullum,2016-2016,Quetta Gladiators
Mahmudullah,2017-2018,Quetta Gladiators
BKG Mendis,2025-2025,Quetta Gladiators
TS Mills,2017-2020,Quetta Gladiators
Mir Hamza,2017-2018,Quetta Gladiators
Mohammad Amir,2024-2025,Quetta Gladiators
Mohammad Hafeez,2023-2023,Quetta Gladiators
Mohammad Hasnain,2019-2024,Quetta Gladiators
Mohammad Irfan,2022-2022,Quetta Gladiators
Mohammad Irfan,2019-2019,Quetta Gladiators
Mohammad Nabi,2016-2016,Quetta Gladiators
